Date,Price
2021-01-01,174.79
2021-01-02,121.26
2021-01-03,122.15
2021-01-04,131.46
2021-01-05,124.61
2021-01-06,136.96
2021-01-07,145.86
2021-01-08,151.83
2021-01-09,141.5
2021-01-10,149.8
2021-01-11,165.3
2021-01-12,177.57
